iter	Passed	Remaining
0	80	9543
1	111	6564
2	140	5488
3	171	4986
4	195	4492
5	237	4505
6	274	4434
7	313	4383
8	351	4332
9	381	4200
10	417	4139
11	453	4084
12	492	4055
13	524	3970
14	548	3840
15	574	3732
16	597	3620
17	621	3523
18	653	3476
19	677	3388
20	702	3312
21	728	3244
22	752	3174
23	781	3127
24	811	3084
25	842	3045
26	864	2978
27	891	2928
28	924	2900
29	956	2870
30	984	2826
31	1011	2782
32	1035	2730
33	1063	2690
34	1088	2643
35	1125	2626
36	1157	2595
37	1186	2560
38	1209	2512
39	1243	2486
40	1272	2452
41	1300	2415
42	1344	2407
43	1387	2395
44	1427	2379
45	1457	2345
46	1485	2307
47	1516	2274
48	1541	2233
49	1570	2198
50	1606	2173
51	1645	2151
52	1675	2117
53	1720	2103
54	1741	2057
55	1769	2022
56	1793	1981
57	1818	1943
58	1842	1904
59	1871	1871
60	1895	1832
61	1921	1797
62	1957	1771
63	1992	1743
64	2019	1708
65	2056	1682
66	2092	1655
67	2122	1622
68	2160	1597
69	2199	1571
70	2240	1546
71	2288	1525
72	2341	1507
73	2390	1485
74	2421	1452
75	2451	1419
76	2482	1386
77	2503	1347
78	2572	1334
79	2642	1321
80	2685	1293
81	2718	1259
82	2748	1225
83	2783	1193
84	2815	1159
85	2839	1122
86	2873	1089
87	2904	1056
88	2938	1023
89	2969	989
90	2998	955
91	3043	926
92	3078	893
93	3109	860
94	3138	825
95	3170	792
96	3203	759
97	3233	725
98	3260	691
99	3293	658
100	3319	624
101	3352	591
102	3379	557
103	3409	524
104	3436	490
105	3467	457
106	3509	426
107	3546	394
108	3587	361
109	3624	329
110	3667	297
111	3700	264
112	3738	231
113	3775	198
114	3808	165
115	3838	132
116	3859	98
117	3883	65
118	3920	32
119	3949	0
